Date,Countries,Browser,Operating Systems,Last Touch Channel,Visits,Page Views,Search Updated (e17) (event17),Total Seconds Spent,Terminbuchung: Closed (e117) (event117),Product Favourite Add Attempt (e111) (event111),Availability check,LinkID-CustomSum,CustomTraveller-CustomSum
2024-10-15,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,55,115,3,11389,2,0,6,26.0,5.0
2024-10-16,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,53,132,8,11009,11,0,7,23.0,8.0
2024-10-17,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,60,187,30,18847,11,0,6,34.0,0.0
2024-10-18,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,56,129,25,16770,17,0,2,26.0,8.0
2024-10-19,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,65,146,4,12152,15,1,5,24.0,7.0
2024-10-20,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,90,281,30,25289,22,0,8,68.0,11.0
2024-10-21,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,69,195,4,19844,8,0,17,23.0,10.0
2024-10-22,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,59,119,10,9228,15,4,3,16.0,11.0
2024-10-23,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,63,133,2,10862,11,0,3,17.0,16.0
2024-10-24,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,45,163,22,14774,16,0,3,36.0,13.0
2024-10-25,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,52,183,17,14614,6,0,10,28.0,24.0
2024-10-26,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,57,182,16,17773,8,0,6,39.0,13.0
2024-10-27,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,64,167,1,20527,5,0,24,10.0,9.0
2024-10-28,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,44,117,13,7772,7,1,4,27.0,4.0
2024-10-29,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,38,120,4,14329,6,0,13,22.0,3.0
2024-10-30,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,35,69,10,3442,5,0,1,8.0,0.0
2024-10-31,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,53,188,26,31981,8,0,58,42.0,4.0
2024-11-01,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,46,137,4,13932,5,0,4,29.0,4.0
2024-11-02,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,56,117,3,9688,8,0,5,9.0,7.0
2024-11-03,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,49,143,10,25495,16,0,49,17.0,9.0
2024-11-04,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,36,98,7,6760,8,0,4,17.0,9.0
2024-11-05,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,34,102,1,12638,3,0,16,10.0,0.0
2024-11-06,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,24,69,13,7029,9,0,4,16.0,5.0
2024-11-07,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,36,134,7,19841,5,0,21,25.0,14.0
2024-11-08,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,34,106,5,15616,6,0,5,26.0,21.0
2024-11-09,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,30,76,4,10679,5,0,5,12.0,20.0
2024-11-10,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,31,86,3,7374,4,0,5,13.0,11.0
2024-11-11,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,28,84,13,7546,4,0,6,16.0,0.0
2024-11-12,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,21,82,20,6528,4,0,3,15.0,11.0
2024-11-13,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,18,55,8,8719,3,0,1,10.0,8.0
2024-11-14,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,25,102,17,10916,0,0,6,33.0,9.0
2024-11-15,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,29,3,3395,0,0,7,4.0,5.0
2024-11-16,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,27,70,6,3321,3,0,3,15.0,1.0
2024-11-17,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,35,141,25,27037,14,3,43,33.0,8.0
2024-11-18,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,21,49,3,2567,2,1,0,11.0,10.0
2024-11-19,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,24,57,3,3953,5,0,2,8.0,7.0
2024-11-20,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,13,41,2,3920,2,0,1,2.0,3.0
2024-11-21,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,21,47,5,2912,4,0,1,6.0,0.0
2024-11-22,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,29,1,4583,1,0,0,3.0,0.0
2024-11-23,germany,chrome 128.0,android 10,SEO,13,26,0,1832,0,0,0,4.0,2.0
2024-11-24,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,19,43,3,2598,2,0,0,6.0,5.0
2024-11-25,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,23,47,3,1964,2,0,2,4.0,0.0
2024-11-26,germany,chrome 128.0,android 10,SEO,15,46,1,5133,4,0,2,9.0,12.0
2024-11-27,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,45,0,3122,3,0,2,11.0,0.0
2024-11-28,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,12,46,4,3436,6,0,0,8.0,0.0
2024-11-29,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,13,28,2,2905,1,0,0,6.0,5.0
2024-11-30,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,9,29,2,1771,0,0,0,5.0,3.0
2024-12-01,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,13,66,8,6228,1,0,3,10.0,6.0
2024-12-02,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,10,35,0,2062,4,0,1,9.0,1.0
2024-12-03,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,15,43,1,3625,1,0,2,2.0,1.0
2024-12-04,germany,chrome 128.0,android 10,SEO,19,40,1,4248,5,0,0,7.0,2.0
2024-12-05,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,4,8,0,311,2,0,0,0.0,0.0
2024-12-06,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,12,42,0,4071,5,0,2,15.0,2.0
2024-12-07,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,49,1,4632,3,0,4,25.0,0.0
2024-12-08,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,24,64,12,6461,2,0,2,14.0,1.0
2024-12-09,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,22,58,3,5905,3,0,2,18.0,5.0
2024-12-10,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,16,37,4,3698,0,0,0,8.0,0.0
2024-12-11,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,24,71,4,8865,2,0,4,18.0,6.0
2024-12-12,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,12,32,0,2189,4,0,0,6.0,0.0
2024-12-13,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,11,28,0,8645,2,0,3,5.0,0.0
2024-12-14,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,13,47,4,4565,1,3,1,16.0,9.0
2024-12-15,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,22,78,22,8069,7,0,2,24.0,3.0
2024-12-16,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,13,15,0,596,2,0,5,2.0,0.0
2024-12-17,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,18,28,1,1409,1,0,4,3.0,0.0
2024-12-18,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,9,13,0,124,1,0,2,0.0,0.0
2024-12-19,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,8,21,1,839,1,0,1,6.0,7.0
2024-12-20,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,11,25,3,2340,6,0,4,4.0,0.0
2024-12-21,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,18,42,4,3503,3,1,4,12.0,16.0
2024-12-22,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,18,44,2,7067,3,0,4,10.0,0.0
2024-12-23,germany,chrome 128.0,android 10,SEO,9,20,1,1239,1,0,0,2.0,0.0
2024-12-24,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,8,28,0,1127,2,0,0,11.0,0.0
2024-12-25,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,37,2,2953,5,0,0,7.0,0.0
2024-12-26,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,11,34,0,1473,1,0,0,5.0,0.0
2024-12-27,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,13,34,0,3451,2,0,1,1.0,0.0
2024-12-28,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,16,48,2,2923,2,0,3,10.0,10.0
2024-12-29,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,37,2,1765,2,0,0,6.0,3.0
2024-12-30,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,17,27,0,2229,6,0,0,4.0,4.0
2024-12-31,germanygermany,chrome 122.0chrome 128.0,android 10android 10,SEOSEO,9,24,0,2849,1,0,1,12.0,1.0
