date,project,downloads
2022-12-26,pandas,2836363
2022-12-26,prophet,35321
2022-12-27,pandas,3051378
2022-12-27,prophet,38443
2022-12-28,pandas,3137369
2022-12-28,prophet,43777
2022-12-29,pandas,3100938
2022-12-29,prophet,36509
2022-12-30,pandas,3213626
2022-12-30,prophet,38826
2022-12-31,pandas,2539676
2022-12-31,prophet,29332
2023-01-01,pandas,2487931
2023-01-01,prophet,30308
2023-01-02,pandas,2927392
2023-01-02,prophet,33714
2023-01-03,pandas,3545366
2023-01-03,prophet,38861
2023-01-04,pandas,3829296
2023-01-04,prophet,41038
2023-01-05,pandas,4123944
2023-01-05,prophet,46208
2023-01-06,pandas,3872923
2023-01-06,prophet,43890
2023-01-07,pandas,2900573
2023-01-07,prophet,31022
2023-01-08,pandas,2812515
2023-01-08,prophet,34135
2023-01-09,pandas,4068417
2023-01-09,prophet,48323
2023-01-10,pandas,3979649
2023-01-10,prophet,47612
2023-01-11,pandas,4141260
2023-01-11,prophet,51479
2023-01-12,pandas,3957498
2023-01-12,prophet,48104
2023-01-13,pandas,3602396
2023-01-13,prophet,41902
2023-01-14,pandas,2736462
2023-01-14,prophet,27089
2023-01-15,pandas,2778586
2023-01-15,prophet,37460
2023-01-16,pandas,3611113
2023-01-16,prophet,48142
2023-01-17,pandas,4055360
2023-01-17,prophet,62814
2023-01-18,pandas,4223534
2023-01-18,prophet,59339
2023-01-19,pandas,4190113
2023-01-19,prophet,72735
2023-01-20,pandas,3869125
2023-01-20,prophet,61115
2023-01-21,pandas,2746877
2023-01-21,prophet,32251
2023-01-22,pandas,2624944
2023-01-22,prophet,35684
2023-01-23,pandas,3943251
2023-01-23,prophet,64709
2023-01-24,pandas,4326246
2023-01-24,prophet,58547
2023-01-25,pandas,4188172
2023-01-25,prophet,64544
2023-01-26,pandas,3735138
2023-01-26,prophet,58822
2023-01-27,pandas,3827068
2023-01-27,prophet,52516
2023-01-28,pandas,2789730
2023-01-28,prophet,51950
2023-01-29,pandas,2581303
2023-01-29,prophet,34347
2023-01-30,pandas,3785353
2023-01-30,prophet,50514
2023-01-31,pandas,4158785
2023-01-31,prophet,48234
2023-02-01,pandas,4170174
2023-02-01,prophet,50161
2023-02-02,pandas,4102166
2023-02-02,prophet,47427
2023-02-03,pandas,3896993
2023-02-03,prophet,40479
2023-02-04,pandas,2780934
2023-02-04,prophet,27828
2023-02-05,pandas,2612356
2023-02-05,prophet,31827
2023-02-06,pandas,3848311
2023-02-06,prophet,50210
2023-02-07,pandas,3994696
2023-02-07,prophet,49906
2023-02-08,pandas,4091483
2023-02-08,prophet,60646
2023-02-09,pandas,4068968
2023-02-09,prophet,49277
2023-02-10,pandas,3943851
2023-02-10,prophet,44603
2023-02-11,pandas,2799842
2023-02-11,prophet,25479
2023-02-12,pandas,2659805
2023-02-12,prophet,29415
2023-02-13,pandas,3945891
2023-02-13,prophet,49939
2023-02-14,pandas,4054094
2023-02-14,prophet,67060
2023-02-15,pandas,3973183
2023-02-15,prophet,55767
2023-02-16,pandas,4083744
2023-02-16,prophet,53437
2023-02-17,pandas,3936886
2023-02-17,prophet,42045
2023-02-18,pandas,2603949
2023-02-18,prophet,27695
2023-02-19,pandas,2530415
2023-02-19,prophet,32458
2023-02-20,pandas,3742938
2023-02-20,prophet,53944
2023-02-21,pandas,4073731
2023-02-21,prophet,51143
2023-02-22,pandas,4255091
2023-02-22,prophet,51223
2023-02-23,pandas,4283344
2023-02-23,prophet,68319
2023-02-24,pandas,4075891
2023-02-24,prophet,49488
2023-02-25,pandas,2804189
2023-02-25,prophet,24618
2023-02-26,pandas,2601577
2023-02-26,prophet,25993
2023-02-27,pandas,4081452
2023-02-27,prophet,43503
2023-02-28,pandas,4267507
2023-02-28,prophet,46271
2023-03-01,pandas,4253405
2023-03-01,prophet,53255
2023-03-02,pandas,4269441
2023-03-02,prophet,50234
2023-03-03,pandas,4071090
2023-03-03,prophet,46398
2023-03-04,pandas,2941437
2023-03-04,prophet,25604
2023-03-05,pandas,2707382
2023-03-05,prophet,31661
2023-03-06,pandas,4079390
2023-03-06,prophet,66003
2023-03-07,pandas,4403205
2023-03-07,prophet,69235
2023-03-08,pandas,4027404
2023-03-08,prophet,67707
2023-03-09,pandas,4282227
2023-03-09,prophet,75733
2023-03-10,pandas,4022582
2023-03-10,prophet,52150
2023-03-11,pandas,2698161
2023-03-11,prophet,27538
2023-03-12,pandas,2649647
2023-03-12,prophet,37269
2023-03-13,pandas,4026947
2023-03-13,prophet,73028
2023-03-14,pandas,4286421
2023-03-14,prophet,68623
2023-03-15,pandas,4307275
2023-03-15,prophet,59850
2023-03-16,pandas,4259539
2023-03-16,prophet,51288
