date,project,downloads
2024-01-13,prophet,48540
2024-01-14,pandas,3813122
2024-01-14,prophet,58208
2024-01-15,pandas,5242902
2024-01-15,prophet,71140
2024-01-16,pandas,5857574
2024-01-16,prophet,90296
2024-01-17,pandas,6025727
2024-01-17,prophet,92287
2024-01-18,pandas,6185182
2024-01-18,prophet,89235
2024-01-19,pandas,6034855
2024-01-19,prophet,86200
2024-01-20,pandas,4219534
2024-01-20,prophet,49794
2024-01-21,pandas,3936649
2024-01-21,prophet,51392
2024-01-22,pandas,6217437
2024-01-22,prophet,89594
2024-01-23,pandas,6547224
2024-01-23,prophet,86723
2024-01-24,pandas,6329713
2024-01-24,prophet,84940
2024-01-25,pandas,6201947
2024-01-25,prophet,81909
2024-01-26,pandas,5952573
2024-01-26,prophet,65368
2024-01-27,pandas,4128855
2024-01-27,prophet,45805
2024-01-28,pandas,3991446
2024-01-28,prophet,53629
2024-01-29,pandas,6224592
2024-01-29,prophet,84061
2024-01-30,pandas,6397817
2024-01-30,prophet,88673
2024-01-31,pandas,6209842
2024-01-31,prophet,90110
2024-02-01,pandas,6441280
2024-02-01,prophet,110558
2024-02-02,pandas,5799195
2024-02-02,prophet,98196
2024-02-03,pandas,3930129
2024-02-03,prophet,50938
2024-02-04,pandas,3856029
2024-02-04,prophet,52913
2024-02-05,pandas,5944805
2024-02-05,prophet,88669
2024-02-06,pandas,6318496
2024-02-06,prophet,96257
2024-02-07,pandas,6245540
2024-02-07,prophet,99561
2024-02-08,pandas,6257997
2024-02-08,prophet,88840
2024-02-09,pandas,5835102
2024-02-09,prophet,77401
2024-02-10,pandas,3970343
2024-02-10,prophet,47025
2024-02-11,pandas,3844107
2024-02-11,prophet,52406
2024-02-12,pandas,5742027
2024-02-12,prophet,78838
2024-02-13,pandas,6258055
2024-02-13,prophet,76094
2024-02-14,pandas,6107240
2024-02-14,prophet,74214
2024-02-15,pandas,6198020
2024-02-15,prophet,80322
2024-02-16,pandas,5953187
2024-02-16,prophet,80379
2024-02-17,pandas,4057129
2024-02-17,prophet,46799
2024-02-18,pandas,3985594
2024-02-18,prophet,49140
2024-02-19,pandas,5774378
2024-02-19,prophet,77235
2024-02-20,pandas,6332277
2024-02-20,prophet,78315
2024-02-21,pandas,6605322
2024-02-21,prophet,93063
2024-02-22,pandas,6633633
2024-02-22,prophet,84451
2024-02-23,pandas,6437553
2024-02-23,prophet,84476
2024-02-24,pandas,4672038
2024-02-24,prophet,50656
2024-02-25,pandas,4368838
2024-02-25,prophet,51096
2024-02-26,pandas,6876462
2024-02-26,prophet,89613
2024-02-27,pandas,7420552
2024-02-27,prophet,91974
2024-02-28,pandas,7896101
2024-02-28,prophet,82376
2024-02-29,pandas,7744788
2024-02-29,prophet,86716
2024-03-01,pandas,7537670
2024-03-01,prophet,85434
2024-03-02,pandas,4960168
2024-03-02,prophet,47969
2024-03-03,pandas,4620470
2024-03-03,prophet,48992
2024-03-04,pandas,7013642
2024-03-04,prophet,86813
2024-03-05,pandas,7642376
2024-03-05,prophet,95712
2024-03-06,pandas,7507315
2024-03-06,prophet,96768
2024-03-07,pandas,7627625
2024-03-07,prophet,100603
2024-03-08,pandas,7129908
2024-03-08,prophet,73879
2024-03-09,pandas,4805306
2024-03-09,prophet,50956
2024-03-10,pandas,4501476
2024-03-10,prophet,46864
2024-03-11,pandas,7303267
2024-03-11,prophet,81933
2024-03-12,pandas,7798593
2024-03-12,prophet,81031
2024-03-13,pandas,7908784
2024-03-13,prophet,80722
2024-03-14,pandas,7891819
2024-03-14,prophet,82529
2024-03-15,pandas,7449022
2024-03-15,prophet,70487
2024-03-16,pandas,4942705
2024-03-16,prophet,45255
2024-03-17,pandas,4860822
2024-03-17,prophet,48541
2024-03-18,pandas,7308134
2024-03-18,prophet,78404
2024-03-19,pandas,7857494
2024-03-19,prophet,77179
2024-03-20,pandas,7735130
2024-03-20,prophet,73307
2024-03-21,pandas,7708612
2024-03-21,prophet,72468
2024-03-22,pandas,7347630
2024-03-22,prophet,68699
2024-03-23,pandas,5065233
2024-03-23,prophet,42093
2024-03-24,pandas,4818444
2024-03-24,prophet,44000
2024-03-25,pandas,7252090
2024-03-25,prophet,73452
2024-03-26,pandas,7755101
2024-03-26,prophet,82980
2024-03-27,pandas,7860699
2024-03-27,prophet,83633
2024-03-28,pandas,7508183
2024-03-28,prophet,76899
2024-03-29,pandas,6614859
2024-03-29,prophet,56636
2024-03-30,pandas,4878371
2024-03-30,prophet,44328
2024-03-31,pandas,4836414
2024-03-31,prophet,46118
2024-04-01,pandas,6905055
2024-04-01,prophet,69527
2024-04-02,pandas,7841945
2024-04-02,prophet,82796
2024-04-03,pandas,8260237
2024-04-03,prophet,94930
2024-04-04,pandas,8057079
2024-04-04,prophet,87054
2024-04-05,pandas,7275572
2024-04-05,prophet,79219
2024-04-06,pandas,4953088
2024-04-06,prophet,51047
2024-04-07,pandas,4912432
2024-04-07,prophet,52002
2024-04-08,pandas,7312580
2024-04-08,prophet,85538
2024-04-09,pandas,7618820
2024-04-09,prophet,83170
2024-04-10,pandas,7746732
2024-04-10,prophet,86589
2024-04-11,pandas,8086558
2024-04-11,prophet,77006
2024-04-12,pandas,7659199
2024-04-12,prophet,81212
2024-04-13,pandas,5172453
2024-04-13,prophet,50088
2024-04-14,pandas,4990686
2024-04-14,prophet,52955
2024-04-15,pandas,7830170
2024-04-15,prophet,85085
2024-04-16,pandas,8010171
2024-04-16,prophet,104162
2024-04-17,pandas,8191928
2024-04-17,prophet,103865
2024-04-18,pandas,8168777
2024-04-18,prophet,82511
2024-04-19,pandas,7975727
2024-04-19,prophet,71311
2024-04-20,pandas,5160061
2024-04-20,prophet,48339
2024-04-21,pandas,4951220
2024-04-21,prophet,53308
2024-04-22,pandas,7757584
2024-04-22,prophet,85334
2024-04-23,pandas,8288682
2024-04-23,prophet,96446
2024-04-24,pandas,8028494
2024-04-24,prophet,83052
2024-04-25,pandas,8137525
2024-04-25,prophet,89178
2024-04-26,pandas,7663835
2024-04-26,prophet,72281
2024-04-27,pandas,5146635
2024-04-27,prophet,45797
2024-04-28,pandas,4978964
2024-04-28,prophet,48149
2024-04-29,pandas,7726941
2024-04-29,prophet,78298
2024-04-30,pandas,8199239
2024-04-30,prophet,82104
2024-05-01,pandas,7446457
2024-05-01,prophet,76204
2024-05-02,pandas,8429853
2024-05-02,prophet,75190
2024-05-03,pandas,8335567
2024-05-03,prophet,71660
2024-05-04,pandas,5419822
2024-05-04,prophet,48097
2024-05-05,pandas,5151746
2024-05-05,prophet,51219
2024-05-06,pandas,8248431
2024-05-06,prophet,83172
2024-05-07,pandas,9086283
2024-05-07,prophet,93153
2024-05-08,pandas,8860860
2024-05-08,prophet,92263
2024-05-09,pandas,8389107
2024-05-09,prophet,79892
2024-05-10,pandas,8316538
2024-05-10,prophet,79412
2024-05-11,pandas,5681991
2024-05-11,prophet,53641
2024-05-12,pandas,5282229
2024-05-12,prophet,52911
2024-05-13,pandas,8620416
2024-05-13,prophet,88589
2024-05-14,pandas,9200646
2024-05-14,prophet,87988
2024-05-15,pandas,9215384
2024-05-15,prophet,86847
2024-05-16,pandas,8862996
2024-05-16,prophet,87373
2024-05-17,pandas,8628699
2024-05-17,prophet,78807
2024-05-18,pandas,5526242
2024-05-18,prophet,51794
2024-05-19,pandas,5311407
2024-05-19,prophet,52122
2024-05-20,pandas,7946834
2024-05-20,prophet,84404
2024-05-21,pandas,9006900
2024-05-21,prophet,90941
2024-05-22,pandas,9084096
2024-05-22,prophet,84214
2024-05-23,pandas,8893924
2024-05-23,prophet,90423
2024-05-24,pandas,8329518
2024-05-24,prophet,82102
2024-05-25,pandas,5572957
2024-05-25,prophet,52180
2024-05-26,pandas,5323351
2024-05-26,prophet,53655
2024-05-27,pandas,7224284
2024-05-27,prophet,75302
2024-05-28,pandas,8674448
2024-05-28,prophet,88778
2024-05-29,pandas,9228954
2024-05-29,prophet,87623
2024-05-30,pandas,9104650
2024-05-30,prophet,85578
2024-05-31,pandas,8799642
2024-05-31,prophet,86518
2024-06-01,pandas,5825500
2024-06-01,prophet,58744
2024-06-02,pandas,5284290
2024-06-02,prophet,55561
2024-06-03,pandas,8778795
2024-06-03,prophet,93825
2024-06-04,pandas,9442157
2024-06-04,prophet,96855
2024-06-05,pandas,9105823
2024-06-05,prophet,87870
2024-06-06,pandas,9292020
2024-06-06,prophet,87357
2024-06-07,pandas,8726859
2024-06-07,prophet,84545
2024-06-08,pandas,5587792
2024-06-08,prophet,52430
2024-06-09,pandas,5233829
2024-06-09,prophet,52719
2024-06-10,pandas,8396836
2024-06-10,prophet,86774
2024-06-11,pandas,9213475
2024-06-11,prophet,91419
2024-06-12,pandas,9262612
2024-06-12,prophet,87716
2024-06-13,pandas,9163704
2024-06-13,prophet,90957
2024-06-14,pandas,8910875
2024-06-14,prophet,86417
2024-06-15,pandas,5790525
2024-06-15,prophet,55561
2024-06-16,pandas,5346129
2024-06-16,prophet,55706
2024-06-17,pandas,8998994
2024-06-17,prophet,86222
2024-06-18,pandas,8899676
2024-06-18,prophet,97215
2024-06-19,pandas,8090872
2024-06-19,prophet,86624
2024-06-20,pandas,8611154
2024-06-20,prophet,83055
2024-06-21,pandas,8389972
2024-06-21,prophet,84320
2024-06-22,pandas,5568375
2024-06-22,prophet,55669
2024-06-23,pandas,5277565
2024-06-23,prophet,53486
2024-06-24,pandas,8238018
2024-06-24,prophet,83500
2024-06-25,pandas,8653064
2024-06-25,prophet,90470
2024-06-26,pandas,8703402
2024-06-26,prophet,95636
2024-06-27,pandas,8479836
2024-06-27,prophet,97480
2024-06-28,pandas,7946945
2024-06-28,prophet,85172
2024-06-29,pandas,5479507
2024-06-29,prophet,56547
2024-06-30,pandas,5226184
2024-06-30,prophet,57624
2024-07-01,pandas,8142642
2024-07-01,prophet,95705
2024-07-02,pandas,8765261
2024-07-02,prophet,96885
2024-07-03,pandas,8533281
2024-07-03,prophet,100931
2024-07-04,pandas,7502983
2024-07-04,prophet,83881
2024-07-05,pandas,7358802
2024-07-05,prophet,77751
2024-07-06,pandas,5243814
2024-07-06,prophet,51651
2024-07-07,pandas,5212110
2024-07-07,prophet,57779
2024-07-08,pandas,8662617
2024-07-08,prophet,97515
2024-07-09,pandas,8553284
2024-07-09,prophet,90874
2024-07-10,pandas,8584611
2024-07-10,prophet,92503
2024-07-11,pandas,8654813
2024-07-11,prophet,87937
2024-07-12,pandas,8235597
2024-07-12,prophet,82061
2024-07-13,pandas,5839850
2024-07-13,prophet,52666
2024-07-14,pandas,5700022
2024-07-14,prophet,52701
2024-07-15,pandas,8453189
2024-07-15,prophet,94438
2024-07-16,pandas,8959483
2024-07-16,prophet,99235
2024-07-17,pandas,9233398
2024-07-17,prophet,84919
2024-07-18,pandas,9076506
2024-07-18,prophet,84090
2024-07-19,pandas,8350152
2024-07-19,prophet,81538
2024-07-20,pandas,5845915
2024-07-20,prophet,54539
2024-07-21,pandas,5575000
2024-07-21,prophet,55113
2024-07-22,pandas,9273891
2024-07-22,prophet,92459
2024-07-23,pandas,10365537
2024-07-23,prophet,105296
2024-07-24,pandas,10326380
2024-07-24,prophet,97530
2024-07-25,pandas,10164372
2024-07-25,prophet,105826
2024-07-26,pandas,9405133
2024-07-26,prophet,88838
2024-07-27,pandas,5993293
2024-07-27,prophet,61021
2024-07-28,pandas,5560414
2024-07-28,prophet,65957
2024-07-29,pandas,9274124
2024-07-29,prophet,98231
2024-07-30,pandas,9581017
2024-07-30,prophet,95495
2024-07-31,pandas,10225811
2024-07-31,prophet,93102
2024-08-01,pandas,9967010
2024-08-01,prophet,107887
2024-08-02,pandas,9698589
2024-08-02,prophet,93304
2024-08-03,pandas,5971440
2024-08-03,prophet,55973
2024-08-04,pandas,5537426
2024-08-04,prophet,58301
2024-08-05,pandas,9184017
2024-08-05,prophet,97443
2024-08-06,pandas,10643949
2024-08-06,prophet,96057
2024-08-07,pandas,10410303
2024-08-07,prophet,100667
2024-08-08,pandas,10999528
2024-08-08,prophet,87426
2024-08-09,pandas,9993859
2024-08-09,prophet,82366
2024-08-10,pandas,6115782
2024-08-10,prophet,54970
2024-08-11,pandas,5703503
2024-08-11,prophet,56405
2024-08-12,pandas,9787106
2024-08-12,prophet,94165
2024-08-13,pandas,9731074
2024-08-13,prophet,97031
2024-08-14,pandas,9309011
2024-08-14,prophet,87589
2024-08-15,pandas,8825396
2024-08-15,prophet,82944
2024-08-16,pandas,9428220
2024-08-16,prophet,87911
2024-08-17,pandas,5915869
2024-08-17,prophet,62577
2024-08-18,pandas,5955829
2024-08-18,prophet,63552
2024-08-19,pandas,9118143
2024-08-19,prophet,97317
2024-08-20,pandas,9846985
2024-08-20,prophet,103165
2024-08-21,pandas,9767952
2024-08-21,prophet,99030
2024-08-22,pandas,10121294
2024-08-22,prophet,92554
2024-08-23,pandas,9250967
2024-08-23,prophet,91574
2024-08-24,pandas,6001184
2024-08-24,prophet,61494
2024-08-25,pandas,5708889
2024-08-25,prophet,62641
2024-08-26,pandas,9521240
2024-08-26,prophet,104748
2024-08-27,pandas,10532821
2024-08-27,prophet,106389
2024-08-28,pandas,10163129
2024-08-28,prophet,105004
2024-08-29,pandas,10574943
2024-08-29,prophet,103195
2024-08-30,pandas,9679127
2024-08-30,prophet,97590
2024-08-31,pandas,6205527
2024-08-31,prophet,73855
2024-09-01,pandas,5950163
2024-09-01,prophet,81440
2024-09-02,pandas,8206945
2024-09-02,prophet,110721
2024-09-03,pandas,9781722
2024-09-03,prophet,116849
2024-09-04,pandas,10131684
2024-09-04,prophet,120330
2024-09-05,pandas,10588315
2024-09-05,prophet,120605
2024-09-06,pandas,9900678
2024-09-06,prophet,106454
2024-09-07,pandas,6435662
2024-09-07,prophet,71932
2024-09-08,pandas,5916774
2024-09-08,prophet,75108
2024-09-09,pandas,9883449
2024-09-09,prophet,121700
2024-09-10,pandas,11049252
2024-09-10,prophet,129410
2024-09-11,pandas,10492121
2024-09-11,prophet,123503
2024-09-12,pandas,9896905
2024-09-12,prophet,119103
2024-09-13,pandas,10178369
2024-09-13,prophet,111985
2024-09-14,pandas,6345708
2024-09-14,prophet,74978
2024-09-15,pandas,6078783
2024-09-15,prophet,72036
2024-09-16,pandas,9988101
2024-09-16,prophet,116656
2024-09-17,pandas,10614053
2024-09-17,prophet,114627
2024-09-18,pandas,10856758
2024-09-18,prophet,111906
2024-09-19,pandas,11077817
2024-09-19,prophet,118692
2024-09-20,pandas,10758593
2024-09-20,prophet,105724
2024-09-21,pandas,7483241
2024-09-21,prophet,69106
2024-09-22,pandas,6566272
2024-09-22,prophet,70581
2024-09-23,pandas,10758931
2024-09-23,prophet,114884
2024-09-24,pandas,11466917
2024-09-24,prophet,110519
2024-09-25,pandas,11333873
2024-09-25,prophet,115765
2024-09-26,pandas,11038798
2024-09-26,prophet,109507
2024-09-27,pandas,10359898
2024-09-27,prophet,100439
2024-09-28,pandas,7020031
2024-09-28,prophet,67887
2024-09-29,pandas,6492146
2024-09-29,prophet,68770
2024-09-30,pandas,10033364
2024-09-30,prophet,103800
2024-10-01,pandas,11359930
2024-10-01,prophet,123406
2024-10-02,pandas,11239165
2024-10-02,prophet,98344
2024-10-03,pandas,10578040
2024-10-03,prophet,109058
2024-10-04,pandas,10091136
2024-10-04,prophet,101363
2024-10-05,pandas,6919085
2024-10-05,prophet,66381
2024-10-06,pandas,6540206
2024-10-06,prophet,67241
2024-10-07,pandas,10250203
2024-10-07,prophet,109635
2024-10-08,pandas,11067328
2024-10-08,prophet,114194
2024-10-09,pandas,10625659
2024-10-09,prophet,113672
2024-10-10,pandas,10523126
2024-10-10,prophet,108717
2024-10-11,pandas,10084877
2024-10-11,prophet,101262
2024-10-12,pandas,6611569
2024-10-12,prophet,68775
2024-10-13,pandas,6338063
2024-10-13,prophet,68774
2024-10-14,pandas,9504854
2024-10-14,prophet,106647
2024-10-15,pandas,10450298
2024-10-15,prophet,106900
2024-10-16,pandas,10170692
2024-10-16,prophet,113080
2024-10-17,pandas,10005829
2024-10-17,prophet,102867
2024-10-18,pandas,9527495
2024-10-18,prophet,102095
2024-10-19,pandas,6481535
2024-10-19,prophet,67400
2024-10-20,pandas,6146425
2024-10-20,prophet,68437
2024-10-21,pandas,9444917
2024-10-21,prophet,109678
2024-10-22,pandas,9973297
2024-10-22,prophet,111499
2024-10-23,pandas,10071595
2024-10-23,prophet,109725
2024-10-24,pandas,9877590
2024-10-24,prophet,104545
2024-10-25,pandas,9280768
2024-10-25,prophet,102307
2024-10-26,pandas,6389134
2024-10-26,prophet,69405
2024-10-27,pandas,6294405
2024-10-27,prophet,73249
2024-10-28,pandas,9724689
2024-10-28,prophet,107966
2024-10-29,pandas,10167618
2024-10-29,prophet,116629
2024-10-30,pandas,9862680
2024-10-30,prophet,112510
2024-10-31,pandas,9418915
2024-10-31,prophet,106785
2024-11-01,pandas,8570176
2024-11-01,prophet,107919
2024-11-02,pandas,6272350
2024-11-02,prophet,69118
2024-11-03,pandas,6249201
2024-11-03,prophet,70470
2024-11-04,pandas,9584602
2024-11-04,prophet,114315
2024-11-05,pandas,10030231
2024-11-05,prophet,114595
2024-11-06,pandas,10034888
2024-11-06,prophet,110147
2024-11-07,pandas,10593550
2024-11-07,prophet,117608
2024-11-08,pandas,9727386
2024-11-08,prophet,101591
2024-11-09,pandas,6530747
2024-11-09,prophet,74141
2024-11-10,pandas,6349822
2024-11-10,prophet,71981
2024-11-11,pandas,9441663
2024-11-11,prophet,114307
2024-11-12,pandas,10412246
2024-11-12,prophet,121712
2024-11-13,pandas,10002429
2024-11-13,prophet,115520
2024-11-14,pandas,10218826
2024-11-14,prophet,120867
2024-11-15,pandas,9599825
2024-11-15,prophet,105829
2024-11-16,pandas,6947748
2024-11-16,prophet,77103
2024-11-17,pandas,6741380
2024-11-17,prophet,81083
2024-11-18,pandas,9865177
2024-11-18,prophet,118466
2024-11-19,pandas,10602407
2024-11-19,prophet,118156
2024-11-20,pandas,10538898
2024-11-20,prophet,113198
2024-11-21,pandas,10674990
2024-11-21,prophet,111856
2024-11-22,pandas,10298165
2024-11-22,prophet,112277
2024-11-23,pandas,7455138
2024-11-23,prophet,79637
2024-11-24,pandas,7413938
2024-11-24,prophet,76971
2024-11-25,pandas,10465485
2024-11-25,prophet,140965
2024-11-26,pandas,10791671
2024-11-26,prophet,129215
2024-11-27,pandas,10277858
2024-11-27,prophet,119901
2024-11-28,pandas,9022672
2024-11-28,prophet,111716
2024-11-29,pandas,8581602
2024-11-29,prophet,97542
2024-11-30,pandas,6509002
2024-11-30,prophet,68091
2024-12-01,pandas,6730432
2024-12-01,prophet,81224
2024-12-02,pandas,9845395
2024-12-02,prophet,117139
2024-12-03,pandas,10470748
2024-12-03,prophet,124095
2024-12-04,pandas,10361609
2024-12-04,prophet,113382
2024-12-05,pandas,10438377
2024-12-05,prophet,116935
2024-12-06,pandas,10723439
2024-12-06,prophet,117855
2024-12-07,pandas,8483546
2024-12-07,prophet,79307
2024-12-08,pandas,7969598
2024-12-08,prophet,81701
2024-12-09,pandas,11744851
2024-12-09,prophet,128163
2024-12-10,pandas,12192387
2024-12-10,prophet,122446
2024-12-11,pandas,12221051
2024-12-11,prophet,116895
2024-12-12,pandas,11784867
2024-12-12,prophet,119002
2024-12-13,pandas,11882226
2024-12-13,prophet,112534
2024-12-14,pandas,10631692
2024-12-14,prophet,82763
2024-12-15,pandas,10688764
2024-12-15,prophet,81621
2024-12-16,pandas,13978338
2024-12-16,prophet,127556
2024-12-17,pandas,12864830
2024-12-17,prophet,136167
2024-12-18,pandas,10838345
2024-12-18,prophet,129628
2024-12-19,pandas,10477622
2024-12-19,prophet,135388
2024-12-20,pandas,10297880
2024-12-20,prophet,130584
2024-12-21,pandas,8462865
2024-12-21,prophet,88823
2024-12-22,pandas,8145348
2024-12-22,prophet,83370
2024-12-23,pandas,9481673
2024-12-23,prophet,128261
2024-12-24,pandas,8046089
2024-12-24,prophet,107048
2024-12-25,pandas,7271442
2024-12-25,prophet,92656
2024-12-26,pandas,7928712
2024-12-26,prophet,103236
2024-12-27,pandas,8075818
2024-12-27,prophet,102830
2024-12-28,pandas,6510288
2024-12-28,prophet,81411
2024-12-29,pandas,6503569
2024-12-29,prophet,87896
2024-12-30,pandas,8769370
2024-12-30,prophet,115744
2024-12-31,pandas,8533425
2024-12-31,prophet,99187
2025-01-01,pandas,7659094
2025-01-01,prophet,108374
2025-01-02,pandas,8945069
2025-01-02,prophet,125094
2025-01-03,pandas,9196794
2025-01-03,prophet,119260
2025-01-04,pandas,7474227
2025-01-04,prophet,85164
2025-01-05,pandas,7239567
2025-01-05,prophet,86964
2025-01-06,pandas,10187670
2025-01-06,prophet,131515
2025-01-07,pandas,10797556
2025-01-07,prophet,136841
2025-01-08,pandas,10988781
2025-01-08,prophet,141247
2025-01-09,pandas,10658187
2025-01-09,prophet,130895
2025-01-10,pandas,10577883
2025-01-10,prophet,133979
2025-01-11,pandas,7506113
2025-01-11,prophet,79210
2025-01-12,pandas,7098215
2025-01-12,prophet,85694
2025-01-13,pandas,10270005
2025-01-13,prophet,135738
2025-01-14,pandas,10848032
2025-01-14,prophet,138070
2025-01-15,pandas,10899599
2025-01-15,prophet,133828
2025-01-16,pandas,10640877
2025-01-16,prophet,130660
2025-01-17,pandas,10885572
2025-01-17,prophet,135626
2025-01-18,pandas,7116723
2025-01-18,prophet,83713
2025-01-19,pandas,6744136
2025-01-19,prophet,88857
2025-01-20,pandas,9499084
2025-01-20,prophet,128865
2025-01-21,pandas,10776610
2025-01-21,prophet,144275
2025-01-22,pandas,10871149
2025-01-22,prophet,142096
2025-01-23,pandas,10262365
2025-01-23,prophet,137880
2025-01-24,pandas,9898336
2025-01-24,prophet,126189
2025-01-25,pandas,7233748
2025-01-25,prophet,86158
2025-01-26,pandas,6868170
2025-01-26,prophet,94667
2025-01-27,pandas,10295674
2025-01-27,prophet,139387
2025-01-28,pandas,11435441
2025-01-28,prophet,142032
2025-01-29,pandas,11088975
2025-01-29,prophet,142188
2025-01-30,pandas,10590762
2025-01-30,prophet,138555
2025-01-31,pandas,10416718
2025-01-31,prophet,129882
2025-02-01,pandas,7613764
2025-02-01,prophet,116446
2025-02-02,pandas,7232981
2025-02-02,prophet,99962
2025-02-03,pandas,10419539
2025-02-03,prophet,144025
2025-02-04,pandas,11465248
2025-02-04,prophet,153529
2025-02-05,pandas,11666280
2025-02-05,prophet,138276
2025-02-06,pandas,11611479
2025-02-06,prophet,147591
2025-02-07,pandas,10983091
2025-02-07,prophet,134488
2025-02-08,pandas,7528931
2025-02-08,prophet,89396
2025-02-09,pandas,7271535
2025-02-09,prophet,97549
2025-02-10,pandas,10675991
2025-02-10,prophet,146717
2025-02-11,pandas,10939317
2025-02-11,prophet,141503
2025-02-12,pandas,11224885
2025-02-12,prophet,138199
2025-02-13,pandas,11185453
2025-02-13,prophet,137884
2025-02-14,pandas,10315309
2025-02-14,prophet,127245
2025-02-15,pandas,7242975
2025-02-15,prophet,82904
2025-02-16,pandas,7077991
2025-02-16,prophet,84559
2025-02-17,pandas,9941484
2025-02-17,prophet,136938
2025-02-18,pandas,10961766
2025-02-18,prophet,150424
2025-02-19,pandas,11406519
2025-02-19,prophet,136718
2025-02-20,pandas,11248068
2025-02-20,prophet,128991
2025-02-21,pandas,10376737
2025-02-21,prophet,124787
2025-02-22,pandas,7577940
2025-02-22,prophet,85258
2025-02-23,pandas,7218789
2025-02-23,prophet,78286
2025-02-24,pandas,10825180
2025-02-24,prophet,131097
2025-02-25,pandas,11217939
2025-02-25,prophet,136076
2025-02-26,pandas,11303205
2025-02-26,prophet,130369
2025-02-27,pandas,11563201
2025-02-27,prophet,126896
2025-02-28,pandas,10736722
2025-02-28,prophet,114973
2025-03-01,pandas,7695813
2025-03-01,prophet,97963
2025-03-02,pandas,7021907
2025-03-02,prophet,82540
2025-03-03,pandas,10471885
2025-03-03,prophet,129788
2025-03-04,pandas,11137176
2025-03-04,prophet,137422
2025-03-05,pandas,11088754
2025-03-05,prophet,136555
2025-03-06,pandas,11230071
2025-03-06,prophet,146247
2025-03-07,pandas,11759660
2025-03-07,prophet,138078
2025-03-08,pandas,7343441
2025-03-08,prophet,88669
2025-03-09,pandas,7038388
2025-03-09,prophet,87446
2025-03-10,pandas,10662639
2025-03-10,prophet,143799
2025-03-11,pandas,11104868
2025-03-11,prophet,145070
2025-03-12,pandas,11349424
2025-03-12,prophet,143817
2025-03-13,pandas,11354866
2025-03-13,prophet,139701
2025-03-14,pandas,10644667
2025-03-14,prophet,136751
2025-03-15,pandas,7387887
2025-03-15,prophet,98548
2025-03-16,pandas,7088252
2025-03-16,prophet,100596
2025-03-17,pandas,11177763
2025-03-17,prophet,150795
2025-03-18,pandas,12155148
2025-03-18,prophet,155322
2025-03-19,pandas,12150532
2025-03-19,prophet,154556
2025-03-20,pandas,11504716
2025-03-20,prophet,153202
2025-03-21,pandas,10982355
2025-03-21,prophet,127578
2025-03-22,pandas,7600294
2025-03-22,prophet,95779
2025-03-23,pandas,7229743
2025-03-23,prophet,92325
2025-03-24,pandas,11036307
2025-03-24,prophet,147457
2025-03-25,pandas,11456716
2025-03-25,prophet,163614
2025-03-26,pandas,11317895
2025-03-26,prophet,150163
2025-03-27,pandas,11839138
2025-03-27,prophet,152686
2025-03-28,pandas,11083277
2025-03-28,prophet,139166
2025-03-29,pandas,7716916
2025-03-29,prophet,98247
2025-03-30,pandas,7483477
2025-03-30,prophet,98825
2025-03-31,pandas,10772429
2025-03-31,prophet,140728
2025-04-01,pandas,11901575
2025-04-01,prophet,182225
2025-04-02,pandas,11802144
2025-04-02,prophet,164274
2025-04-03,pandas,11797272
2025-04-03,prophet,167168
2025-04-04,pandas,11025626
2025-04-04,prophet,150809
2025-04-05,pandas,7708203
2025-04-05,prophet,110915
2025-04-06,pandas,7559648
2025-04-06,prophet,112990
2025-04-07,pandas,11511623
2025-04-07,prophet,169015
2025-04-08,pandas,11898912
2025-04-08,prophet,173395
2025-04-09,pandas,11954212
2025-04-09,prophet,162469
2025-04-10,pandas,11956599
2025-04-10,prophet,170166
2025-04-11,pandas,11195505
2025-04-11,prophet,162779
2025-04-12,pandas,7906425
2025-04-12,prophet,111441
2025-04-13,pandas,7711329
2025-04-13,prophet,110729
2025-04-14,pandas,11682618
2025-04-14,prophet,165674
2025-04-15,pandas,12716530
2025-04-15,prophet,168065
2025-04-16,pandas,12762842
2025-04-16,prophet,161258
2025-04-17,pandas,12351730
2025-04-17,prophet,158733
2025-04-18,pandas,11131434
2025-04-18,prophet,147596
2025-04-19,pandas,8764148
2025-04-19,prophet,122819
2025-04-20,pandas,8791791
2025-04-20,prophet,118076
2025-04-21,pandas,11099409
2025-04-21,prophet,153091
2025-04-22,pandas,12614304
2025-04-22,prophet,163536
2025-04-23,pandas,12975191
2025-04-23,prophet,160158
2025-04-24,pandas,12707285
2025-04-24,prophet,156128
2025-04-25,pandas,12470511
2025-04-25,prophet,154138
2025-04-26,pandas,8631550
2025-04-26,prophet,113056
2025-04-27,pandas,8365048
2025-04-27,prophet,115955
2025-04-28,pandas,12086100
2025-04-28,prophet,155874
2025-04-29,pandas,12977530
2025-04-29,prophet,180762
2025-04-30,pandas,12734123
2025-04-30,prophet,177323
2025-05-01,pandas,10992423
2025-05-01,prophet,161548
2025-05-02,pandas,11681945
2025-05-02,prophet,167297
2025-05-03,pandas,8738593
2025-05-03,prophet,120675
2025-05-04,pandas,8278297
2025-05-04,prophet,115945
2025-05-05,pandas,11673341
2025-05-05,prophet,188985
2025-05-06,pandas,13981657
2025-05-06,prophet,184967
2025-05-07,pandas,13440821
2025-05-07,prophet,156917
2025-05-08,pandas,12992152
2025-05-08,prophet,170370
2025-05-09,pandas,12416459
2025-05-09,prophet,157132
