ds;city;pres;prcp
12.06.2020;Aachen;1007.3;0
13.06.2020;Aachen;1010.5;2.1
14.06.2020;Aachen;1014.5;1.8
15.06.2020;Aachen;1017;0
16.06.2020;Aachen;1015.8;0
17.06.2020;Aachen;1012.7;10.5
18.06.2020;Aachen;1011.8;12.5
19.06.2020;Aachen;1016.3;0
20.06.2020;Aachen;1021.4;0
21.06.2020;Aachen;1020.4;0
22.06.2020;Aachen;1024.9;0
23.06.2020;Aachen;1025.2;0
24.06.2020;Aachen;1022.1;0
25.06.2020;Aachen;1018;0
26.06.2020;Aachen;1012.2;0
27.06.2020;Aachen;1010.4;0
28.06.2020;Aachen;1013.4;0
29.06.2020;Aachen;1013.2;0
30.06.2020;Aachen;1011.1;1.5
01.07.2020;Aachen;1008;14.5
02.07.2020;Aachen;1011.7;0
03.07.2020;Aachen;1017.6;0
04.07.2020;Aachen;1016.4;0.7
05.07.2020;Aachen;1013.7;1.5
06.07.2020;Aachen;1017;0
07.07.2020;Aachen;1020.8;0
08.07.2020;Aachen;1016.4;17.7
09.07.2020;Aachen;1014.2;6.8
10.07.2020;Aachen;1013.7;0
11.07.2020;Aachen;1024.1;0
12.07.2020;Aachen;1027.6;0
13.07.2020;Aachen;1023.4;0
14.07.2020;Aachen;1016.3;0.4
15.07.2020;Aachen;1015.1;0
16.07.2020;Aachen;1017.7;4.8
17.07.2020;Aachen;1021.1;0
18.07.2020;Aachen;1019.4;0
19.07.2020;Aachen;1016.5;0
20.07.2020;Aachen;1019.4;0
21.07.2020;Aachen;1024;0
22.07.2020;Aachen;1023.6;0
23.07.2020;Aachen;1017.8;0
24.07.2020;Aachen;1012.9;0
25.07.2020;Aachen;1012.1;0.5
26.07.2020;Aachen;1011;7.8
27.07.2020;Aachen;1013;0
28.07.2020;Aachen;1012.5;0
29.07.2020;Aachen;1019.9;0
30.07.2020;Aachen;1020.2;0
31.07.2020;Aachen;1015.6;0
01.08.2020;Aachen;1014.5;0
02.08.2020;Aachen;1015.7;0
03.08.2020;Aachen;1014.1;0
04.08.2020;Aachen;1016.6;0
05.08.2020;Aachen;1016.4;0
06.08.2020;Aachen;1018.3;0
07.08.2020;Aachen;1019.3;0
08.08.2020;Aachen;1018.7;0
09.08.2020;Aachen;1016.9;0
10.08.2020;Aachen;1014.2;0
11.08.2020;Aachen;1014.5;0
12.08.2020;Aachen;1013.8;0
13.08.2020;Aachen;1012.3;0
14.08.2020;Aachen;1013.5;0
15.08.2020;Aachen;1014.6;0
16.08.2020;Aachen;1011.2;0.7
17.08.2020;Aachen;1010.2;0
18.08.2020;Aachen;1011.7;0
19.08.2020;Aachen;1009.5;0
20.08.2020;Aachen;1006.8;1.4
21.08.2020;Aachen;1009.1;0
22.08.2020;Aachen;1015.5;0
23.08.2020;Aachen;1017;0
24.08.2020;Aachen;1016.7;0
25.08.2020;Aachen;1010.8;1.2
26.08.2020;Aachen;1009.9;0
27.08.2020;Aachen;1015.9;0
28.08.2020;Aachen;1003.3;0.7
29.08.2020;Aachen;1004.1;0
30.08.2020;Aachen;1009.8;2.3
31.08.2020;Aachen;1018.3;5.3
01.09.2020;Aachen;1019.5;0
02.09.2020;Aachen;1019.2;0
03.09.2020;Aachen;1019.5;2.5
04.09.2020;Aachen;1021.2;0.4
05.09.2020;Aachen;1019.7;1.4
06.09.2020;Aachen;1020.6;0
07.09.2020;Aachen;1024.1;0
08.09.2020;Aachen;1025.9;0
09.09.2020;Aachen;1023;0
10.09.2020;Aachen;1022.3;0
11.09.2020;Aachen;1017.7;0
12.09.2020;Aachen;1019.7;0
13.09.2020;Aachen;1025.4;0
14.09.2020;Aachen;1023.7;0
15.09.2020;Aachen;1019.7;0
16.09.2020;Aachen;1019.8;0
17.09.2020;Aachen;1026.1;0
18.09.2020;Aachen;1022.9;0
19.09.2020;Aachen;1017.8;0
20.09.2020;Aachen;1016.3;0
21.09.2020;Aachen;1015.6;0
22.09.2020;Aachen;1011.1;0
23.09.2020;Aachen;1005.7;0
24.09.2020;Aachen;1002.6;1.8
25.09.2020;Aachen;997.3;2.4
26.09.2020;Aachen;998.5;10
27.09.2020;Aachen;1000.4;8.1
28.09.2020;Aachen;1009.7;4.6
29.09.2020;Aachen;1015.6;5.7
30.09.2020;Aachen;1014.5;0
01.10.2020;Aachen;1002.9;3.6
02.10.2020;Aachen;993.1;0.8
03.10.2020;Aachen;989.5;2
04.10.2020;Aachen;991.3;3
05.10.2020;Aachen;999;2.7
06.10.2020;Aachen;1001.5;5
07.10.2020;Aachen;1010.8;1
08.10.2020;Aachen;1015.6;4.7
09.10.2020;Aachen;1018.1;3.6
10.10.2020;Aachen;1020.3;1
11.10.2020;Aachen;1020.9;0
12.10.2020;Aachen;1020.7;0
13.10.2020;Aachen;1013.5;0
14.10.2020;Aachen;1016.9;0
15.10.2020;Aachen;1019.6;2.3
16.10.2020;Aachen;1022.4;0
17.10.2020;Aachen;1021.6;0
18.10.2020;Aachen;1023.1;0
19.10.2020;Aachen;1021.7;0
20.10.2020;Aachen;1010.9;1.2
21.10.2020;Aachen;1004.8;4.4
22.10.2020;Aachen;1011.6;1.1
23.10.2020;Aachen;1011.8;3.3
24.10.2020;Aachen;1012.3;0
25.10.2020;Aachen;1003.6;6.8
26.10.2020;Aachen;1002.4;0
27.10.2020;Aachen;1005.2;1.1
28.10.2020;Aachen;1007.9;3.6
29.10.2020;Aachen;1015.4;6.9
30.10.2020;Aachen;1020.4;2.7
31.10.2020;Aachen;1019.5;0
01.11.2020;Aachen;1012.3;3.7
02.11.2020;Aachen;1010.9;3
03.11.2020;Aachen;1022.5;0
04.11.2020;Aachen;1032.1;0
05.11.2020;Aachen;1038.6;0
06.11.2020;Aachen;1032.5;0
07.11.2020;Aachen;1024.1;0
08.11.2020;Aachen;1022.4;0
09.11.2020;Aachen;1023.1;0
10.11.2020;Aachen;1025.5;0.3
11.11.2020;Aachen;1024.7;0
12.11.2020;Aachen;1018.3;0
13.11.2020;Aachen;1017.7;0.5
14.11.2020;Aachen;1016.1;0
15.11.2020;Aachen;1007;4.3
16.11.2020;Aachen;1014.1;0.2
17.11.2020;Aachen;1024.9;0.6
18.11.2020;Aachen;1022.6;0
19.11.2020;Aachen;1022.9;1.8
20.11.2020;Aachen;1034.9;0
21.11.2020;Aachen;1031.6;0
22.11.2020;Aachen;1027;0.3
23.11.2020;Aachen;1028.4;0
24.11.2020;Aachen;1023.7;0
25.11.2020;Aachen;1017.9;0
26.11.2020;Aachen;1021.1;0
27.11.2020;Aachen;1019.6;0
28.11.2020;Aachen;1019.9;0
29.11.2020;Aachen;1025.6;0
30.11.2020;Aachen;1024.8;3
01.12.2020;Aachen;1016.1;7.5
02.12.2020;Aachen;1017.4;0.1
03.12.2020;Aachen;999.6;1.1
04.12.2020;Aachen;985.3;1.4
05.12.2020;Aachen;996.9;0
06.12.2020;Aachen;1001.1;0.1
07.12.2020;Aachen;1000.1;1.7
08.12.2020;Aachen;1003.7;0.4
09.12.2020;Aachen;1010.5;0
10.12.2020;Aachen;1007;0
11.12.2020;Aachen;994.9;1.2
12.12.2020;Aachen;997.6;2.5
13.12.2020;Aachen;1009.7;0.9
14.12.2020;Aachen;1007.8;1
15.12.2020;Aachen;1010.4;4.5
16.12.2020;Aachen;1015.6;0
17.12.2020;Aachen;1018.6;1.6
18.12.2020;Aachen;1021.1;0
19.12.2020;Aachen;1014.6;0
20.12.2020;Aachen;1018.1;0
21.12.2020;Aachen;1016.5;3.6
22.12.2020;Aachen;1013.3;7
23.12.2020;Aachen;1010.7;11
24.12.2020;Aachen;1011.3;6.2
25.12.2020;Aachen;1023.9;0.4
26.12.2020;Aachen;1022.4;0
27.12.2020;Aachen;989;5.6
28.12.2020;Aachen;977.8;4.1
29.12.2020;Aachen;988.1;0
30.12.2020;Aachen;1002;0
31.12.2020;Aachen;1003.6;4.1
01.01.2021;Aachen;1009.7;0.9
02.01.2021;Aachen;1014.4;0
03.01.2021;Aachen;1015;0.8
04.01.2021;Aachen;1015.7;0.6
05.01.2021;Aachen;1016.4;0.1
06.01.2021;Aachen;1016.4;0.5
07.01.2021;Aachen;1014.8;2.5
08.01.2021;Aachen;1016.3;5.5
09.01.2021;Aachen;1024.3;0
10.01.2021;Aachen;1025.7;0
11.01.2021;Aachen;1020.9;0
12.01.2021;Aachen;1011.2;9.8
