"Date","name","Close","High","Low","Open","Volume"
"2020-06-04","google",70.3785171508789,71.7230942913884,69.9659920549232,71.4971694316438,26982000
"2020-06-04","apple",78.3293151855469,79.1312690763083,77.9550665755861,78.8323626304795,87560400
"2020-06-05","google",71.6584014892578,71.9709103787135,70.0461071028752,70.4452000209642,42642000
"2020-06-05","apple",80.5602188110352,80.620973123864,78.5504688125246,78.5796296960747,137250400
"2020-06-08","google",72.057487487793,72.1052556252854,70.8850914087532,70.974667107052,33878000
"2020-06-08","apple",81.0365371704102,81.0705631481984,79.5444149818533,80.2564538064928,95654400
"2020-06-09","google",72.2585296630859,73.0407927911988,71.7748421027944,71.9181617163091,33624000
"2020-06-09","apple",83.5955047607422,83.989191534706,80.6841627370204,80.7157561673777,147712400
"2020-06-10","google",72.8865280151367,73.2881038580097,72.3719897464423,72.7277868392125,31762000
"2020-06-10","apple",85.746208190918,86.2152297176782,84.1058417038533,84.5457023463401,166651600
"2020-06-11","google",69.761474609375,72.2346510693837,69.5878054026681,71.7086623807251,47144000
"2020-06-11","apple",81.6294937133789,85.3136361549305,81.5274306203534,84.8883559626289,201662400
"2020-06-12","google",70.3098526000977,71.3842143717954,68.960301988537,70.9537695800349,36676000
"2020-06-12","apple",82.3342666625977,84.5214225854491,81.2212505783631,83.7729324883564,200146000
"2020-06-15","google",70.6989898681641,70.910973807003,69.0299675303067,69.1439246530982,30468000
"2020-06-15","apple",83.3525009155273,84.0062180423941,80.8226899458728,80.9855147991885,138808800
"2020-06-16","google",71.9793701171875,72.5118205185792,71.1095282588495,72.1052635851663,30648000
"2020-06-16","apple",85.5615310668945,85.8337166832305,83.7729272287711,85.4108615216102,165428800
"2020-06-17","google",72.2814254760742,72.7621289687269,71.415068821233,72.3013345643053,30610000
"2020-06-17","apple",85.4424514770508,86.3683467952298,85.3209428272499,86.3075924703293,114406400
"2020-06-18","google",71.3648147583008,72.3028274866372,70.9726846629474,72.1475715166182,34862000
"2020-06-18","apple",85.4764709472656,85.8944609673905,84.8664951985169,85.3987036374054,96820400
"2020-06-19","google",70.89306640625,71.8813377511159,70.6124029328241,71.6574098639097,52784000
"2020-06-19","apple",84.9879989624023,86.6502361797144,83.8774082716407,86.1836471799243,264476000
"2020-06-22","google",72.187873840332,72.2023083095252,70.6218668119963,70.911482553167,29442000
"2020-06-22","apple",87.2115936279297,87.3549729061145,85.3355002837446,85.3816741515343,135445200
"2020-06-23","google",72.850700378418,73.4090356321781,71.9062184221341,72.2545515256299,37752000
"2020-06-23","apple",89.0731201171875,90.4947726369816,88.0378641686495,88.4582867176972,212155600
"2020-06-24","google",71.2941513061523,73.438395111491,71.1597915317398,72.8158754107159,31592000
"2020-06-24","apple",87.5007934570312,89.6223367925083,87.126544802571,88.7012993067053,192623200
"2020-06-25","google",71.7121429443359,71.7728497131923,70.6392694468583,71.2204902509711,23958000
"2020-06-25","apple",88.6624145507812,88.7012982015925,86.8956817742771,87.6563269701204,137522400
"2020-06-26","google",67.8028335571289,71.5091128593862,67.4276285110703,71.2906596037278,97640000
"2020-06-26","apple",85.9382019042969,88.7790745005128,85.7899575070365,88.5579278857794,205256800
"2020-06-29","google",69.5261001586914,69.5674065829811,67.2609287443365,67.6933629667115,45074000
"2020-06-29","apple",87.9187698364258,88.0135501123518,85.3670890182564,85.845833239841,130646000
"2020-06-30","google",70.5651321411133,70.8612172011015,69.0165360541645,69.5116740414644,40286000
"2020-06-30","apple",88.652702331543,88.939468363357,87.4862223336144,87.5056604531836,140223200
"2020-07-01","google",71.7569427490234,72.0794062419112,70.3725623570392,70.6208792923295,42182000
"2020-07-01","apple",88.484992980957,89.2747989153108,88.436393988621,88.7304427368481,110737200
"2020-07-02","google",73.1467819213867,74.071863482986,72.2082681803725,72.246590514746,57218000
"2020-07-02","apple",88.484992980957,90.0305862966589,88.3707820116338,89.393882391572,114041600
"2020-07-06","google",74.6257171630859,75.1407566218761,73.4976114223746,74.0534561598252,44712000
"2020-07-06","apple",90.8520126342773,91.3210342100469,89.8848011791187,89.9163946124823,118655600
"2020-07-07","google",74.1415328979492,75.7040621691891,74.1305836591436,74.450556560161,42364000
"2020-07-07","apple",90.5700912475586,92.0111816289066,90.4583053993024,91.2310984040124,112424400
"2020-07-08","google",74.8222732543945,75.1989741307219,74.2599592494904,74.6829400202205,31766000
"2020-07-08","apple",92.6794891357422,92.7110825654259,91.4619703178275,91.5494603858977,117092000
"2020-07-09","google",75.5716934204102,76.0932021831166,74.4236862082971,75.1372698328512,41836000
"2020-07-09","apple",93.0780410766602,93.6272550290862,92.0282047566612,93.5737909364113,125642800
"2020-07-10","google",76.584358215332,76.7003047409064,74.6789703117272,75.3024847121242,35918000
"2020-07-10","apple",93.2408828735352,93.2992120729912,92.0598222668252,92.6722232388637,90257200
"2020-07-13","google",75.2517318725586,78.4429720341664,74.9695801430884,77.1282584156395,42954000
"2020-07-13","apple",92.8107223510742,97.1631623533042,92.5968659763704,94.5482942710955,191649200
"2020-07-14","google",75.6811676025391,75.7777061736972,73.9429797707156,74.2843499989779,38108000
"2020-07-14","apple",94.3465957641602,94.5385740643926,91.2554158467695,92.191026386989,170989200
"2020-07-15","google",75.4831237792969,76.4509925190672,74.5351565353406,75.7991103295847,31026000
"2020-07-15","apple",94.9954452514648,96.4754194718045,93.7949393962793,96.2251119911815,153198000
"2020-07-16","google",75.3855972290039,75.4348612184584,74.0594331084466,74.7177846715875,26484000
"2020-07-16","apple",93.8265380859375,94.6843887633717,93.2262851246984,93.8654217395913,110577600
"2020-07-17","google",75.4816284179688,75.8090653540336,74.5485891882386,75.4846125033959,34264000
"2020-07-17","apple",93.6369781494141,94.4340744510236,93.1630915345382,94.2785472639354,92186800
"2020-07-20","google",77.8199462890625,78.0772154377444,74.777492969368,75.3895645355712,30166000
"2020-07-20","apple",95.6102752685547,95.7487968815181,93.379378684577,93.7244664441231,90318000
"2020-07-21","google",77.4258346557617,78.9749319167624,77.2616188349668,78.8744145525564,27486000
"2020-07-21","apple",94.2907028198242,96.4778582976036,94.0403953229081,96.4025235355618,103433200
"2020-07-22","google",77.8702087402344,77.976200718881,76.7943510525442,77.4153824975999,24482000
"2020-07-22","apple",94.5555801391602,95.238458012771,93.9042956943986,93.9917783438601,89001600
"2020-07-23","google",75.4766540527344,78.1439024697454,75.0705906466516,77.9239533563904,33910000
"2020-07-23","apple",90.2517395019531,94.3660194003196,89.4400628487636,94.2882521072925,197004400
"2020-07-24","google",75.0516891479492,75.4109715359019,74.0255965069115,74.6028386333552,29902000
"2020-07-24","apple",90.0281753540039,90.3732631389898,86.6550944752937,88.4461379766555,185438800
"2020-07-27","google",76.1076354980469,76.5122030810648,75.2567079486674,75.3029878499172,27124000
"2020-07-27","apple",92.1618499755859,92.2541977076332,90.8690039758162,91.0925756695438,121214000
"2020-07-28","google",74.8247680664062,75.9374446133662,74.6690109658058,75.887185935997,30910000
"2020-07-28","apple",90.6478881835938,91.9091486019852,90.6430230910152,91.7317432977601,103625600
"2020-07-29","google",75.8130340576172,76.3016950658136,74.7929097834208,74.8919388851191,22676000
"2020-07-29","apple",92.3854522705078,92.5701477809531,91.0950310760625,91.131482185677,90329200
"2020-07-30","google",76.5525207519531,76.677920690994,74.4027944945207,74.5421277601217,36042000
"2020-07-30","apple",93.5033264160156,93.607822061352,91.1484884956124,91.5567557259719,158130000
"2020-07-31","google",74.0435028076172,74.8929420702205,72.3540776826246,74.4963396605995,91468000
"2020-07-31","apple",103.292060852051,103.442730370414,98.0088604443455,100.011327759944,374336800
"2020-08-03","google",73.7852401733398,74.5301757156369,73.2358647326855,74.1952823635518,45482000
"2020-08-03","apple",105.89476776123,108.519351121324,104.878957425842,105.177863899942,308151200
"2020-08-04","google",73.3144912719727,74.3002797145422,72.8531957058502,73.9818026285224,37212000
"2020-08-04","apple",106.601951599121,107.695529263351,105.360129550598,106.084323651444,173071600
"2020-08-05","google",73.6026077270508,74.1455138278104,73.2109788045489,73.4896528857235,29134000
"2020-08-05","apple",106.988357543945,107.309142133529,105.855896128936,106.322492569812,121776800
"2020-08-06","google",74.8894500732422,74.9551379108816,73.2448167497711,73.4563071372142,33306000
"2020-08-06","apple",110.721084594727,111.216841856284,106.730745543144,107.32127567477,202428800
"2020-08-07","google",74.5620346069336,75.6428658746023,73.9599099041371,75.0929968396534,27718000
